Dengue virus,Enterovirus A,Enterovirus B,Enterovirus C,Enterovirus D,Enterovirus J,Enterovirus L,Herpes simplex type 1,Human coronavirus HKU1,Human coronavirus NL63,Human coronavirus OC43,Human cytomegalovirus,Human gammaherpesvirus 4,Human herpesvirus 6B,Human herpesvirus 7,Human mastadenovirus A,Human mastadenovirus B,Human mastadenovirus C,Human mastadenovirus D,Human mastadenovirus E,Human mastadenovirus F,Human metapneumovirus,Human orthorubulavirus 2,Human parainfluenza virus 3,Human parainfluenza virus 4,Human respirovirus 1,Influenza A,Influenza B,Influenza C,Macacine herpesvirus 1,Parechovirus A,Rhinovirus A,Rhinovirus B,Rhinovirus C,RSV,SARS-CoV-2,WU polyomavirus
,AM - May 2023,,AM - May 2023,,,,AM - May 2023,,,,AM - May 2023,AM - May 2023,,,AM - May 2023,AM - May 2023,AM - May 2023,AM - May 2023,AM - May 2023,AM - May 2023,,,,,,AM - May 2023,,,AM - May 2023,,AM - May 2023,,AM - May 2023,,,
,,,,,,,SE - August 2023,,,SE - August 2023,SE - August 2023,SE - August 2023,SE - August 2023,SE - August 2023,,,,,,SE - August 2023,SE - August 2023,,SE - August 2023,SE - August 2023,,,,,SE - August 2023,,,SE - August 2023,SE - August 2023,SE - August 2023,,
,RS - May 2024,RS - May 2024,RS - May 2024,RS - May 2024,RS - May 2024,,,RS - May 2024,,,RS - May 2024,,,,,,RS - May 2024,,,,,,RS - May 2024,,RS - May 2024,RS - May 2024,,,0,RS - May 2024,RS - May 2024,RS - May 2024,RS - May 2024,RS - May 2024,,
,,,BA - June/July 2023,,,,BA - June/July 2023,,BA - June/July 2023,BA - June/July 2023,BA - June/July 2023,BA - June/July 2023,,,,,BA - June/July 2023,,,,BA - June/July 2023,,BA - June/July 2023,,,BA - June/July 2023,,,0,,BA - June/July 2023,BA - June/July 2023,BA - June/July 2023,,BA - June/July 2023,
,,,,,,,RS - April 2024,,RS - April 2024,RS - April 2024,RS - April 2024,RS - April 2024,RS - April 2024,,,,,,,,RS - April 2024,,,,,RS - April 2024,,,0,,RS - April 2024,,RS - April 2024,RS - April 2024,RS - April 2024,
,,,,,,,RS - March 2024,,RS - March 2024,,,,,,,,RS - March 2024,,,,,,,,,RS - March 2024,,,0,,RS - March 2024,,,RS - March 2024,RS - March 2024,
DF - May 2024,,,,,,,DF - May 2024,,,,,,DF - May 2024,,,,,,,,,,DF - May 2024,,,DF - May 2024,,,0,,DF - May 2024,,,DF - May 2024,DF - May 2024,
,,,RJ - March 2024,,RJ - March 2024,,RJ - March 2024,,RJ - March 2024,,RJ - March 2024,RJ - March 2024,RJ - March 2024,,,,RJ - March 2024,RJ - March 2024,,,,RJ - March 2024,,,,RJ - March 2024,RJ - March 2024,,0,,RJ - March 2024,RJ - March 2024,RJ - March 2024,RJ - March 2024,RJ - March 2024,
,RJ - July 2024,RJ - July 2024,RJ - July 2024,RJ - July 2024,,RJ - July 2024,,RJ - July 2024,,RJ - July 2024,,,,,,RJ - July 2024,RJ - July 2024,,,,,,RJ - July 2024,,,RJ - July 2024,RJ - July 2024,RJ - July 2024,0,,RJ - July 2024,RJ - July 2024,RJ - July 2024,RJ - July 2024,RJ - July 2024,
,RJ - June 2023,RJ - June 2023,RJ - June 2023,RJ - June 2023,,,RJ - June 2023,,,RJ - June 2023,RJ - June 2023,RJ - June 2023,,,,,RJ - June 2023,RJ - June 2023,,,RJ - June 2023,,RJ - June 2023,,,RJ - June 2023,,,0,,RJ - June 2023,RJ - June 2023,RJ - June 2023,RJ - June 2023,,RJ - June 2023
